category,foods,source_type,kcal/100gr,Crude Protein (gr) ,Arginine (gr),Histidine (gr),Isoleucine (gr),Methionine (gr),Methionine + Cystine (gr),Leucine (gr),Lysine (gr),Phenylalanine (gr),Phenylalanine & Tyrosine (gr),Threonine (gr),Tryptophan (gr),Valine (gr),Glutamic Acid (gr),Taurine (gr),Total Fat (gr),Linoleic Acid n-6 (gr),a-Linolenic Acid n-3 (gr),Linoleic Acid / a-Linolenic Acid,Arachidonic Acid (gr),Eicosapentaenoic & Docosahexaenoic n-3 (gr),EPA / DPA,Calcium (gr),Phosphorus (gr),Magnesium (mg),Sodium (mg),Potassium (gr),Chloride (mg),Iron (mg),Copper (mg),Zinc (mg),Manganese (mg),Selenium (mcg),Iodine (mcg),Vitamin A (RE) (mcg of all trans-retinol),Vitamin A (UI),Cholecalciferol (Vit D) (mcg),Vitamin D3 (IU),Vitamin E (a-tocopherol) (mg=IU),Vitamin K (Menadion) (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Pyridoxine (B6) (mg),Niacin (B3) (mg),Pantothenic Acid (B5) (mg),Cobalamin (B12) (mcg),Folic Acid (B9) (mcg),Biotin (B7) (mg),Choline (B4) (mg),Glucose (gr),Sucrose (gr),Lactose (gr),Cellulose (gr),TDF (gr),Cystine (gr),Tyrosine (gr),DM%,Moisture%,Ash (gr)
سبزیجات,کلم پیچ پخته,home,28,1.9,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.4,0.05,0.05,1.0,0.0,0.0,,72,28,18,15,180,30,0.5,0.05,0.2,0.2,1.0,2,2270.0,6810,0.0,0,0.5,0.05,0.05,0.06,0.14,0.4,0.3,0.0,13,1,10,1.5,1.0,0.0,1.5,2.0,0.01,0.02,91,9,0.8
سبزیجات,گل کلم پخته,home,23,1.8,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.5,0.05,0.05,1.0,0.0,0.0,,16,32,9,15,142,30,0.3,0.05,0.2,0.2,1.0,2,0.0,0,0.0,0,0.5,0.05,0.04,0.05,0.12,0.4,0.3,0.0,44,1,10,1.5,1.0,0.0,1.5,2.0,0.01,0.02,93,7,0.7
سبزیجات,گوجه فرنگی,home,18,0.9,0.05,0.02,0.04,0.01,0.02,0.06,0.05,0.04,0.06,0.04,0.01,0.05,,0.0,0.2,0.05,0.05,1.0,0.0,0.0,,10,24,11,5,237,30,0.3,0.05,0.2,0.2,1.0,2,277.6666666666667,833,0.0,0,0.5,0.01,0.04,0.02,0.08,0.6,0.3,0.0,15,1,10,1.5,1.0,0.0,1.5,1.2,0.01,0.02,95,5,0.5
میوه,انار,home,83,1.7,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,1.2,0.05,0.02,2.5,0.0,0.0,,10,36,12,3,236,5,0.3,0.05,0.4,0.1,0.5,1,0.0,0,0.0,0,0.3,0.005,0.07,0.05,0.08,0.3,0.2,0.0,38,1,5,3.0,5.0,0.0,1.0,4.0,0.005,0.01,78,22,0.6
میوه,انبه,home,60,0.8,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.4,0.05,0.02,2.5,0.0,0.0,,11,14,10,1,168,5,0.2,0.05,0.1,0.1,0.5,1,360.6666666666667,1082,0.0,0,0.3,0.005,0.03,0.04,0.12,0.7,0.2,0.0,43,1,5,3.0,5.0,0.0,1.0,1.6,0.005,0.01,83,17,0.4
میوه,انگور,home,69,0.7,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.2,0.05,0.02,2.5,0.0,0.0,,10,20,7,2,191,5,0.4,0.05,0.1,0.1,0.5,1,22.0,66,0.0,0,0.3,0.005,0.07,0.07,0.09,0.2,0.2,0.0,2,1,5,3.0,5.0,0.0,1.0,0.9,0.005,0.01,81,19,0.4
میوه,بلوبری,home,57,0.7,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.3,0.05,0.02,2.5,0.0,0.0,,6,12,6,1,77,5,0.3,0.05,0.2,0.1,0.5,1,18.0,54,0.0,0,0.3,0.005,0.04,0.04,0.05,0.4,0.2,0.0,6,1,5,3.0,5.0,0.0,1.0,2.4,0.005,0.01,84,16,0.2
میوه,توت سیاه,home,43,1.4,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.5,0.05,0.02,2.5,0.0,0.0,,29,22,20,1,162,5,0.6,0.05,0.5,0.1,0.5,1,71.33333333333333,214,0.0,0,0.3,0.005,0.02,0.03,0.03,0.6,0.2,0.0,25,1,5,3.0,5.0,0.0,1.0,5.3,0.005,0.01,88,12,0.4
میوه,توت فرنگی,home,32,0.7,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.3,0.05,0.02,2.5,0.0,0.0,,16,24,13,1,153,5,0.4,0.05,0.1,0.1,0.5,1,4.0,12,0.0,0,0.3,0.005,0.02,0.02,0.05,0.4,0.2,0.0,24,1,5,3.0,5.0,0.0,1.0,2.0,0.005,0.01,91,9,0.4
میوه,زردآلو,home,48,1.4,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.4,0.05,0.02,2.5,0.0,0.0,,13,23,10,1,259,5,0.4,0.05,0.2,0.1,0.5,1,642.0,1926,0.0,0,0.3,0.005,0.03,0.04,0.05,0.6,0.2,0.0,9,1,5,3.0,5.0,0.0,1.0,2.0,0.005,0.01,86,14,0.8
میوه,سیب بدون پوست,home,48,0.3,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.1,0.05,0.02,2.5,0.0,0.0,,5,11,4,0,90,5,0.1,0.05,0.0,0.1,0.5,1,12.666666666666666,38,0.0,0,0.3,0.005,0.02,0.03,0.04,0.1,0.2,0.0,0,1,5,3.0,5.0,0.0,1.0,1.3,0.005,0.01,87,13,0.2
میوه,نارنگی,home,53,0.8,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.3,0.05,0.02,2.5,0.0,0.0,,37,20,12,2,166,5,0.2,0.05,0.1,0.1,0.5,1,227.0,681,0.0,0,0.3,0.005,0.06,0.04,0.08,0.4,0.2,0.0,16,1,5,3.0,5.0,0.0,1.0,1.8,0.005,0.01,85,15,0.4
میوه,هندوانه,home,30,0.6,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.2,0.05,0.02,2.5,0.0,0.0,,7,11,10,1,112,5,0.2,0.05,0.1,0.1,0.5,1,189.66666666666666,569,0.0,0,0.3,0.005,0.03,0.02,0.05,0.2,0.2,0.0,3,1,5,3.0,5.0,0.0,1.0,0.4,0.005,0.01,91,9,0.3
میوه,پرتقال,home,47,0.9,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.1,0.05,0.02,2.5,0.0,0.0,,40,14,10,0,181,5,0.1,0.05,0.1,0.1,0.5,1,75.0,225,0.0,0,0.3,0.005,0.09,0.04,0.06,0.3,0.2,0.0,30,1,5,3.0,5.0,0.0,1.0,2.4,0.005,0.01,87,13,0.4
میوه,کیوی,home,61,1.1,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.5,0.05,0.02,2.5,0.0,0.0,,34,34,17,3,312,5,0.3,0.05,0.1,0.1,0.5,1,29.0,87,0.0,0,0.3,0.005,0.03,0.03,0.06,0.3,0.2,0.0,25,1,5,3.0,5.0,0.0,1.0,3.0,0.005,0.01,83,17,0.6
میوه,گلابی,home,57,0.4,0.02,0.01,0.02,0.005,0.01,0.03,0.02,0.02,0.03,0.02,0.005,0.02,,0.0,0.1,0.05,0.02,2.5,0.0,0.0,,9,12,7,1,116,5,0.2,0.05,0.1,0.1,0.5,1,8.333333333333334,25,0.0,0,0.3,0.005,0.01,0.03,0.03,0.2,0.2,0.0,7,1,5,3.0,5.0,0.0,1.0,3.1,0.005,0.01,84,16,0.3
روغن و چربی,روغن آفتابگردان,home,884,0.0,2.0,0.5,0.8,0.3,0.6,1.5,0.8,1.0,1.6,0.6,0.2,1.0,,0.0,100.0,20.0,0.5,40.0,0.0,0.0,,0,0,0,0,0,10,0.0,1.0,0.0,2.5,5.0,2,0.0,0,0.0,0,15.0,0.01,0.0,0.0,0.0,0.0,0.5,0.0,0,5,50,0.5,2.0,0.0,5.0,0.0,0.3,0.6,0,100,0.0
روغن و چربی,روغن زیتون,home,884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,8.0,0.5,16.0,0.0,0.0,,1,0,0,2,1,0,0.6,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,14.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0.0
روغن و چربی,روغن ماهی سالمون,home,902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,2.0,0.5,4.0,0.0,20.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,2.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0.0
روغن و چربی,روغن نارگیل,home,862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,2.0,0.5,4.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,2.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0.0
روغن و چربی,روغن کانولا,home,884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,10.0,9.0,1.1111111111111112,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,2.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0.0
روغن و چربی,چربی مرغ,home,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,2.0,0.5,4.0,0.0,0.0,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,2.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,0.0
دانه و مغز,بادام,home,579,21.2,2.0,0.5,0.8,0.3,0.6,1.5,0.8,1.0,1.6,0.6,0.2,1.0,,0.0,49.9,10.0,0.5,20.0,0.0,0.0,,269,481,270,1,733,10,3.7,1.0,3.1,2.5,5.0,2,0.6666666666666666,2,0.0,0,15.0,0.01,0.21,1.14,0.14,3.6,0.5,0.0,44,5,50,0.5,2.0,0.0,5.0,12.5,0.3,0.6,4,96,3.0
دانه و مغز,بادام زمینی,home,567,25.8,2.0,0.5,0.8,0.3,0.6,1.5,0.8,1.0,1.6,0.6,0.2,1.0,,0.0,49.2,10.0,0.5,20.0,0.0,0.0,,92,376,168,18,705,10,4.6,1.0,3.3,2.5,5.0,2,0.0,0,0.0,0,15.0,0.01,0.64,0.14,0.35,12.1,0.5,0.0,240,5,50,0.5,2.0,0.0,5.0,8.5,0.3,0.6,7,93,2.3
دانه و مغز,تخم آفتابگردان,home,584,20.8,2.0,0.5,0.8,0.3,0.6,1.5,0.8,1.0,1.6,0.6,0.2,1.0,,0.0,51.5,20.0,0.5,40.0,0.0,0.0,,78,660,325,9,645,10,5.3,1.0,5.0,2.5,5.0,2,16.666666666666668,50,0.0,0,15.0,0.01,1.48,0.36,1.35,8.3,0.5,0.0,227,5,50,0.5,2.0,0.0,5.0,8.6,0.3,0.6,5,95,3.0
دانه و مغز,تخم چیا,home,486,17.0,2.0,0.5,0.8,0.3,0.6,1.5,0.8,1.0,1.6,0.6,0.2,1.0,,0.0,31.0,10.0,20.0,0.5,0.0,0.0,,631,860,335,16,407,10,7.7,1.0,4.6,2.5,5.0,2,18.0,54,0.0,0,5.0,0.01,0.62,0.17,0.0,8.8,0.5,0.0,49,5,50,0.5,2.0,0.0,5.0,34.4,0.3,0.6,6,94,4.0
دانه و مغز,تخم کتان آسیاب شده,home,534,18.3,2.0,0.5,0.8,0.3,0.6,1.5,0.8,1.0,1.6,0.6,0.2,1.0,,0.0,42.2,10.0,20.0,0.5,0.0,0.0,,255,642,392,30,813,10,5.7,1.0,4.3,2.5,5.0,2,0.0,0,0.0,0,5.0,0.01,1.64,0.16,0.47,3.1,0.5,0.0,87,5,50,0.5,2.0,0.0,5.0,27.3,0.3,0.6,7,93,3.4
دانه و مغز,تخم کدو,home,559,30.0,2.0,0.5,0.8,0.3,0.6,1.5,0.8,1.0,1.6,0.6,0.2,1.0,,0.0,49.0,20.0,0.5,40.0,0.0,0.0,,46,1233,592,7,809,10,8.8,1.0,7.8,2.5,5.0,2,0.0,0,0.0,0,5.0,0.01,0.3,0.15,0.1,4.0,0.5,0.0,58,5,50,0.5,2.0,0.0,5.0,6.0,0.3,0.6,5,95,4.0
دانه و مغز,تخم کدو بو داده بدون نمک,home,574,30.0,2.0,0.5,0.8,0.3,0.6,1.5,0.8,1.0,1.6,0.6,0.2,1.0,,0.0,49.0,20.0,0.5,40.0,0.0,0.0,,46,1230,550,18,800,10,8.0,1.0,7.5,2.5,5.0,2,0.0,0,0.0,0,5.0,0.01,0.2,0.15,0.1,4.0,0.5,0.0,58,5,50,0.5,2.0,0.0,5.0,6.0,0.3,0.6,5,95,4.0
دانه و مغز,کنجد,home,573,17.0,2.0,0.5,0.8,0.3,0.6,1.5,0.8,1.0,1.6,0.6,0.2,1.0,,0.0,50.0,10.0,0.5,20.0,0.0,0.0,,975,629,351,11,468,10,14.6,1.0,7.8,2.5,5.0,2,3.0,9,0.0,0,5.0,0.01,0.79,0.25,0.79,4.5,0.5,0.0,97,5,50,0.5,2.0,0.0,5.0,11.8,0.3,0.6,5,95,4.5
دانه و مغز,گردو,home,654,15.2,2.0,0.5,0.8,0.3,0.6,1.5,0.8,1.0,1.6,0.6,0.2,1.0,,0.0,65.2,10.0,20.0,0.5,0.0,0.0,,98,346,158,2,441,10,2.9,1.0,3.1,2.5,5.0,2,6.666666666666667,20,0.0,0,5.0,0.01,0.34,0.15,0.54,1.1,0.5,0.0,98,5,50,0.5,2.0,0.0,5.0,6.7,0.3,0.6,4,96,1.8
